"chapter","joy","sadness","trust","anticipation","surprise","disgust","fear","anger"
"1","20","11","11","6","5","3","3","2"
"2","26","8","25","12","4","11","6","7"
"3","5","1","6","1","1","","",""
"4","21","29","25","16","8","7","13","10"
"5","28","24","37","10","3","3","2","4"
"6","46","15","30","12","9","7","6","12"
"7","23","26","29","20","7","12","9","11"
"8","37","16","25","30","14","7","15","9"
"9","28","35","21","16","15","20","25","5"
"10","60","31","42","17","6","9","7","12"
"11","48","74","59","29","31","23","30","15"
"12","36","66","57","16","17","21","29","18"
"13","35","31","37","11","12","8","24","18"
"14","20","28","13","9","6","22","16","40"
"15","40","27","12","12","9","5","7","5"
"16","40","28","27","9","16","6","5","5"
"17","49","22","32","6","7","10","7","8"
"18","23","21","16","20","8","16","10","15"
"19","58","44","43","12","12","24","","10"
"20","33","59","22","20","29","24","42","44"
"21","19","29","15","15","11","17","19","26"
"22","65","34","35","14","8","13","15","12"
"23","37","38","28","16","6","17","19","11"
"24","22","28","16","33","24","28","42","37"
"25","28","57","37","26","13","26","30","27"
"26","73","46","49","26","11","18","37","21"
"27","17","29","20","12","19","16","38","23"
"28","85","125","101","","39","55","71","59"
