"chapter","fear","sadness","disgust","joy","trust","anticipation","surprise","anger"
"1","17","16","14","14","12","11","8","6"
"2","13","27","20","25","15","12","9","24"
"3","23","44","12","37","26","19","5","9"
"4","39","36","27","55","45","40","15","39"
"5","8","26","14","24","28","32","10","8"
"6","15","24","19","24","18","21","8","22"
"7","11","23","20","17","24","22","6","9"
"8","7","32","8","36","24","13","6","17"
"9","17","27","14","44","29","14","6","7"
"10","8","14","13","34","29","26","11","7"
"11","22","29","9","65","31","29","19","4"
"12","11","20","4","46","15","19","13","7"
"13","5","21","9","26","16","16","4","10"
"14","15","23","17","44","30","26","11","19"
"15","19","25","23","54","17","18","16","26"
"16","10","10","10","40","21","36","11","17"
"17","21","35","13","78","49","","22","28"
"18","13","29","15","64","59","27","30","18"
"19","2","17","5","42","24","18","5","9"
"20","41","28","22","34","33","45","14","20"
"21","22","61","29","55","58","56","25","46"
"22","10","22","5","33","22","17","5","6"
"23","","39","7","48","49","23","8","13"
"24","17","35","20","113","83","39","19","37"
"25","29","42","13","43","32","33","15","16"
"26","22","26","15","16","32","19","9","30"
"27","68","98","84","119","109","","32","101"
"28","28","78","21","28","29","","21","11"
"29","8","38","10","37","29","","4","10"
"30","6","26","7","63","21","18","7","8"
"31","6","25","10","43","23","13","10","14"
"32","8","28","8","96","48","27","20","6"
"33","17","25","21","52","47","","21","18"
"34","33","54","34","119","102","59","20","39"
"35","15","32","11","55","52","25","17","24"
"36","38","36","14","27","32","23","13","19"
"37","32","69","25","91","79","37","28","23"
"38","2","8","1","38","29","11","2",""
