"chapter","sadness","fear","disgust","anger","joy","surprise","anticipation","trust"
"1","27","22","19","11","7","6","3","1"
"2","11","2","9","8","15","7","6","16"
"3","5","2","","1","5","3","3","2"
"4","25","10","8","25","62","13","10","25"
"5","17","","1","7","20","3","2","8"
"6","9","6","2","7","9","5","3","2"
"7","7","4","1","3","35","3","8","5"
"8","7","1","3","5","35","11","3","10"
"9","4","9","","3","42","6","1","15"
"10","11","11","4","10","60","12","3","12"
"11","8","3","","4","36","5","6","10"
"12","8","13","1","2","39","10","5","10"
"13","36","13","5","26","30","14","4","10"
"14","16","11","8","12","37","17","12","17"
"15","10","12","5","24","53","7","11","20"
"16","14","10","17","12","36","4","2","13"
"17","16","30","10","20","17","7","5","7"
"18","10","6","7","9","26","6","3","9"
"19","13","13","11","20","36","11","12","11"
"20","8","13","3","6","29","11","14","12"
"21","5","16","5","13","26","18","7","10"
"22","4","2","4","6","20","7","7","3"
"23","3","5","10","9","48","10","5","32"
"24","26","10","7","19","68","16","5","18"
"25","9","14","2","9","34","3","8","6"
"26","10","3","1","4","57","12","1","24"
"27","26","12","10","16","46","25","8","17"
