"chapter","anger","anticipation","disgust","fear","joy","surprise","sadness","trust"
"1","22","13","12","12","10","10","8","6"
"2","6","7","7","4","19","5","12","7"
"3","15","7","8","4","30","7","28","17"
"4","13","8","7","7","35","10","19","46"
"5","10","7","3","8","21","8","18","11"
"6","","","","","","","",""
"7","4","8","4","9","23","4","13","23"
"8","5","5","5","4","17","4","21","8"
"9","8","13","6","13","4","6","26","15"
"10","13","3","12","11","9","6","21","11"
"11","8","3","6","10","4","11","19","11"
"12","6","6","5","10","11","3","21","9"
"13","5","11","6","12","15","4","21","13"
"14","5","13","2","11","17","9","20","12"
"15","5","12","4","8","11","6","12","13"
"16","19","17","7","15","25","15","28","15"
"17","2","4","3","","9","6","15","8"
"18","23","9","11","9","32","4","22","15"
"19","9","4","6","","9","2","6","13"
"20","15","2","10","11","6","8","16","11"
"21","17","11","5","8","32","7","23","16"
"22","1","8","8","8","9","3","21","9"
"23","9","7","8","17","14","7","19","34"
"24","1","3","3","9","1","2","","3"
"25","8","3","7","14","11","4","10","16"
"26","16","19","11","26","21","10","19","10"
"27","3","2","2","4","3","2","4","2"
"28","3","5","4","10","5","6","3","6"
"29","5","16","7","13","18","10","10","9"
"30","10","14","10","20","13","17","22","16"
"31","6","18","14","21","16","13","27","17"
"32","","5","","3","5","5","11","4"
"33","9","11","12","9","12","4","29","11"
"34","2","3","","1","10","5","4","3"
"35","8","5","10","10","21","2","9","20"
