"chapter","anger","joy","disgust","trust","sadness","surprise","fear","anticipation"
"1","100","87","78","61","43","35","30","17"
"2","91","69","69","100","81","34","88","88"
"3","81","42","56","54","100","38","58",""
"4","100","95","29","62","86","33","43","76"
"5","94","94","39","61","100","22","44",""
"6","100","72","64","40","76","44","96","64"
"7","60","100","38","88","62","36","31","57"
"8","100","64","62","67","78","24","33",""
"9","68","100","32","85","78","35","45","35"
"10","68","100","49","77","62","43","42",""
"11","100","33","57","70","59","40","60","51"
"12","68","34","30","45","100","49","83",""
"13","84","100","37","84","86","37","35",""
"14","57","88","45","100","83","26","45",""
"15","86","89","29","96","100","39","57",""
"16","37","67","22","41","100","22","67","41"
"17","78","78","69","78","100","30","58",""
"18","90","100","45","97","87","32","58","55"
"19","9","55","5","59","100","9","18","55"
"20","38","100","29","71","59","18","29",""
"21","88","100","64","73","84","42","27",""
"22","48","100","31","83","100","14","55","31"
"23","76","100","45","38","83","19","33","33"
"24","98","90","52","65","100","62","48",""
"25","27","100","23","77","77","","36","45"
"26","52","74","26","48","100","43","30","52"
"27","80","71","56","76","98","33","100",""
"28","50","53","30","53","100","17","40","60"
"29","50","70","20","47","100","27","40","37"
"30","90","100","35","60","85","15","45",""
"31","100","100","58","58","68","32","53",""
"32","75","100","45","72","68","40","25","55"
"33","100","70","48","67","59","63","63","85"
"34","49","89","43","43","100","51","65","51"
