"chapter","Angry","Bored","Sad","Fear","Excited","Happy"
"1","0.1156139077","0.0144902018","0.0683239623","0.076907768","0.6500225962","0.0746415641"
"2","0.1907587675","0.1007827743","0.2023201707","0.1840101476","0.1757091359","0.146419004"
"3","0.1211769524","0.0","0.0852903247","0.1519199784","0.229767087","0.4118456575"
"4","0.2535588265","0.0156917453","0.4338232438","0.237007713","0.0306752963","0.0292431752"
"5","0.1129934503","0.0","0.2410098521","0.1494745327","0.2674524066","0.2290697582"
"6","0.098237079","0.0656116034","0.4034289443","0.1839846045","0.1011573928","0.147580376"
"7","0.1162590816","0.0335916935","0.214107491","0.246933988","0.2206701566","0.1684375892"
"8","0.0917683048","0.0523840723","0.1859007106","0.2871813615","0.2046686627","0.1780968881"
"9","0.0928575369","0.0323915826","0.1971628749","0.2429761875","0.3107241894","0.1238876288"
"10","0.1542315824","0.0","0.2610395892","0.3722424678","0.0747405857","0.1377457749"
"11","0.1206859538","0.0","0.2640034518","0.2570128508","0.1339716872","0.2243260565"
"12","0.0507105575","0.0421708092","0.4750918629","0.077651658","0.1088060694","0.2455690431"
"13","0.1541597013","0.0862037423","0.3462936647","0.2786599359","0.0904392903","0.0442436655"
"14","0.0838140622","0.0206751891","0.065004766","0.0859508551","0.3466567099","0.3978984177"
"15","0.1266387706","0.0","0.2651537296","0.1956014821","0.1853913267","0.227214691"
"16","0.1149656622","0.3478623682","0.1963211315","0.2091119362","0.0788487785","0.0528901235"
"17","0.0765712163","0.0375019834","0.1702172133","0.1744946823","0.2847778445","0.2564370602"
"18","0.061058721","0.0607505323","0.1752863627","0.1253085304","0.2264906935","0.3511051602"
"19","0.0483287599","0.0205594377","0.1150527417","0.1094325815","0.2608931365","0.4457333427"
"20","0.2072265536","0.0240414769","0.4810697716","0.1734303876","0.0458613095","0.0683705009"
"21","0.1276021973","0.0644303894","0.489661985","0.2022807501","0.0563381356","0.0596865426"
"22","0.1103974128","0.1877152989","0.4196577719","0.2057043545","0.0444365131","0.0320886488"
"23","0.2466821781","0.0685504479","0.0485560524","0.0491353397","0.3717228322","0.2153531496"
"24","0.0510854312","0.0493147621","0.0995422088","0.0825827656","0.3978224999","0.3196523324"
"25","0.111701143","0.0637188981","0.1912167863","0.1712145837","0.2239183791","0.2382302098"
"26","0.0484816308","0.0","0.1727969742","0.0644546239","0.3602225645","0.3540442066"
"27","0.0822219155","0.1128644376","0.2058898136","0.1589086247","0.2259379069","0.2141773017"
"28","0.2186429659","0.0275083006","0.2759159668","0.1582431405","0.2368003035","0.0828893227"
