"chapter","Excited","Sad","Bored","Happy","Angry","Fear"
"1","0.2565251775","0.1045852092","0","0.4353350772","0.0775786449","0.1259758914"
"2","0.1262722505","0.298998678","0.0389676677","0.0937129088","0.1668055769","0.2752429181"
"3","0.1980809638","0.1074803413","0.0899303612","0.3061909641","0.1184786971","0.1798386724"
"4","0.363146016","0.0734933262","0","0.2102456352","0.2426656885","0.1104493341"
"5","0.1048580243","0.3792111148","0.0643307803","0.0671469899","0.2340195471","0.1504335435"
"6","0.1654588967","0.2624854667","0.0429698766","0.1291821749","0.1533081037","0.2465954814"
"7","0.2811920571","0.1016315857","0.0271984568","0.370849994","0.0616165493","0.1575113571"
"8","0.2430791689","0.2297689419","0.0323606886","0.2332366815","0.0868266231","0.1747278961"
"9","0.1829093109","0.108581178","0.0649397952","0.3041071944","0.1274444612","0.2120180603"
"10","0.1128903466","0.1993737255","0.0460410795","0.2004304188","0.1808070396","0.2604573901"
"11","0.1046254631","0.2410046405","0.1430364375","0.1285385602","0.0793918079","0.3034030909"
"12","0.0434673433","0.4467052649","0.0464801153","0.0559839116","0.2673277353","0.1400356296"
"13","0.026385047","0.2673145234","0.0396816003","0.0165541844","0.5097188872","0.1403457578"
"14","0.2054202413","0.215286637","0.0669194252","0.1781424686","0.1206740891","0.2135571387"
"15","0.2134539273","0.170115041","0.0722415318","0.2228025229","0.1215038381","0.1998831388"
"16","0.1322342372","0.2633163795","0.0731906785","0.1506698085","0.1109940335","0.2695948628"
"17","0.0712531715","0.3620250164","0.0311610722","0.0654895353","0.2496411867","0.2204300179"
"18","0.2146762233","0.1414926359","0","0.5453696965","0.0200310661","0.0784303781"
"19","0.0310757236","0.7828081437","0.0070824416","0.0722715086","0.0298987013","0.0768634811"
"20","0.2467846266","0.1409546933","0.0476203161","0.1790799212","0.2271672459","0.1583931969"
"21","0.0983773141","0.5687685103","0","0.2310657664","0.0152114398","0.0865769694"
"22","0.2053300711","0.1900852965","0.1506744036","0.1776744483","0.10323148","0.1730043005"
"23","0.0770793263","0.2415849461","0.1667978699","0.1058016885","0.2104119207","0.1983242484"
"24","0.2719278507","0.1337381231","0.0942983009","0.1345526644","0.1129659154","0.2525171455"
"25","0.0875557695","0.3357322673","0.0374239128","0.1067764924","0.1712903426","0.2612212154"
"26","0.3916418797","0.099570542","0.0364204831","0.2502497617","0.0796166329","0.1425007006"
"27","0.166367413","0.1628874774","0.0606951316","0.0896852503","0.3524347394","0.1679299883"
"28","0.200538382","0.090809211","0.0684353295","0.3490672643","0.120337306","0.1708125072"
"29","0.0878380039","0.5198876313","0","0.1477253747","0.0964940327","0.1480549575"
"30","0.0670363815","0.4237667733","0.0374947854","0.1151613135","0.1502018181","0.2063389282"
"31","0.1961611112","0.1483830415","0","0.366511985","0.0428118255","0.2461320368"
"32","0.2969767896","0.140620444","0","0.369497308","0.0418112687","0.1510941896"
"33","0.1922654425","0.1862134183","0.0787401507","0.218196141","0.1483631943","0.1762216532"
"34","0.0855191631","0.2714886158","0.0645738117","0.0761718819","0.3186821216","0.1835644059"
