"chapter","trust","joy","anticipation","sadness","disgust","surprise","fear","anger"
"1","20","19","16","11","9","7","6","5"
"2","20","13","9","14","9","8","9","11"
"3","11","6","13","19","4","2","5","14"
"4","10","10","21","9","1","7","11","4"
"5","6","9","6","4","3","6","9","13"
"6","6","17","4","13","2","18","14","24"
"7","4","11","","14","6","5","7","15"
"8","12","10","7","8","3","4","14","21"
"9","20","19","14","12","5","9","8","8"
"10","8","20","3","8","2","6","7","10"
"11","18","8","6","6","1","7","7","6"
"12","14","8","6","19","2","5","3","6"
