"chapter","sadness","joy","anger","disgust","surprise","trust","fear","anticipation","status__code","status__msg","status__credits","status__remaining_credits"
"1","13","12","11","10","7","7","3","2","","","",""
"2","9","14","","5","2","9","1","8","","","",""
"3","5","22","12","11","","15","1","7","","","",""
"4","10","24","14","17","10","15","7","7","","","",""
"5","10","39","12","6","6","44","2","7","","","",""
"6","4","24","1","4","2","30","4","4","","","",""
"7","","1","4","","1","6","1","2","","","",""
"8","5","3","4","5","2","7","1","2","","","",""
"9","9","43","6","2","1","21","5","6","","","",""
"10","10","43","15","12","4","17","9","","","","",""
"11","14","31","7","5","3","30","9","8","","","",""
"12","8","24","9","4","2","24","8","5","","","",""
"13","4","23","3","3","","13","5","2","","","",""
"14","15","40","18","11","9","18","5","7","","","",""
"15","13","20","3","5","3","16","1","5","","","",""
"16","6","21","2","4","3","9","1","1","","","",""
"17","4","22","1","","1","27","2","5","","","",""
"18","9","23","10","8","5","21","6","6","","","",""
"19","19","35","13","11","7","33","4","7","","","",""
"20","5","39","1","1","2","15","1","3","","","",""
"21","1","11","","","","4","2","2","","","",""
"22","7","22","1","","4","19","3","4","","","",""
"23","12","32","2","5","8","16","4","3","","","",""
"24","6","11","17","14","6","18","8","4","","","",""
"25","9","13","18","11","7","9","11","1","","","",""
"26","4","9","4","2","2","4","2","7","","","",""
"27","8","15","2","1","2","7","1","","","","",""
"28","5","24","7","6","5","12","3","","","","",""
"29","7","11","8","9","9","7","7","1","","","",""
"30","9","16","3","1","","2","5","2","","","",""
"31","5","17","6","1","","7","2","2","","","",""
"32","8","12","7","3","4","8","2","4","","","",""
"33","5","10","3","2","2","15","1","4","","","",""
"34","4","17","5","11","8","22","4","4","","","",""
"35","6","21","8","6","3","34","5","5","","","",""
"36","17","14","10","7","1","16","5","9","","","",""
"37","15","15","17","21","5","14","2","2","","","",""
"38","5","16","6","11","3","12","2","3","","","",""
"39","11","16","8","11","7","13","1","","","","",""
"40","4","30","12","12","4","10","3","7","","","",""
"41","14","30","1","3","7","24","4","4","","","",""
"42","8","4","7","6","5","9","9","10","","","",""
"43","14","20","9","6","2","13","5","9","","","",""
"44","2","2","2","1","","","1","2","","","",""
"45","12","9","3","13","6","7","7","","","","",""
"46","10","9","3","7","1","10","3","2","","","",""
"47","7","24","17","3","1","13","3","14","","","",""
"48","3","44","4","4","1","16","6","8","","","",""
"49","10","9","3","4","7","4","4","","","","",""
"50","9","13","5","5","4","13","8","3","","","",""
"51","10","24","12","10","2","12","","4","","","",""
"52","3","19","10","2","1","13","","6","","","",""
"53","3","10","4","6","","9","7","6","","","",""
"54","3","3","9","5","1","2","","2","","","",""
"55","8","18","16","8","6","17","5","5","","","",""
"56","11","14","10","6","9","13","8","6","","","",""
"57","12","10","10","8","3","13","8","8","","","",""
"58","6","23","6","4","4","13","13","10","","","",""
"59","14","13","2","3","11","10","7","7","","","",""
