"chapter","joy","sadness","trust","anger","disgust","anticipation","fear","surprise"
"1","7","5","4","2","2","1","1",""
"2","65","20","64","26","25","14","22","11"
"3","73","36","30","17","39","13","","17"
"4","89","27","49","24","17","9","23","14"
"5","103","20","68","31","28","21","20","11"
"6","90","25","71","36","31","13","24","9"
"7","82","10","52","12","18","11","9","5"
"8","89","46","52","24","38","5","30","15"
"9","73","43","41","17","36","15","53","14"
"10","42","28","38","15","15","3","","15"
"11","28","20","16","11","22","9","22","8"
"12","113","46","47","36","62","32","45","21"
"13","18","11","25","10","18","3","12","1"
"14","8","22","6","16","21","5","14","9"
"15","30","26","17","31","44","11","17","13"
"16","53","28","35","13","25","4","","10"
"17","17","30","11","26","47","3","21","8"
"18","34","10","24","11","9","7","12","7"
"19","30","27","27","15","30","13","25","14"
"20","68","27","40","10","15","8","16","7"
"21","16","17","3","16","30","4","15","2"
