"chapter","trust","joy","anticipation","disgust","anger","fear","surprise","sadness"
"1","20","11","5","3","2","2","1",""
"2","6","13","5","3","2","2","1","3"
"3","32","53","11","12","13","4","2","11"
"4","14","28","5","1","2","1","3","3"
"5","13","10","","2","4","","","5"
"6","41","42","","","9","5","7","6"
"7","21","22","12","7","7","3","5","11"
"8","20","34","14","9","6","","4","10"
"9","17","19","15","2","1","2","4","16"
"10","16","20","12","12","13","2","3","12"
"11","24","22","16","9","5","1","5","13"
"12","","","","","","","",""
"13","24","23","11","6","12","7","3","18"
"14","8","20","9","4","4","","6","10"
"15","25","24","15","2","1","1","6","2"
"16","43","49","18","12","14","8","10","22"
"17","18","14","17","4","7","5","4","6"
"18","72","76","38","16","27","18","14","31"
"19","39","21","9","3","4","7","3","12"
"20","16","16","13","4","5","7","3","15"
"21","42","31","18","3","8","2","4","12"
"22","32","38","24","4","4","8","14","6"
"23","13","21","5","7","14","5","3","20"
"24","37","33","8","4","6","8","3","15"
"25","22","20","12","1","7","2","1","6"
"26","36","33","24","5","6","6","6","18"
"27","23","23","8","6","2","2","3","8"
"28","21","20","13","4","2","3","2","6"
"29","22","30","24","2","2","6","11","6"
"30","10","14","13","2","5","1","2","5"
"31","17","20","18","1","2","7","3","5"
"32","26","31","10","1","1","5","11","3"
"33","17","26","15","8","3","6","5","13"
"34","20","20","14","14","17","4","9","27"
"35","47","20","28","16","19","11","12","22"
"36","18","16","10","15","11","11","9","16"
"37","16","12","10","5","6","1","2","16"
"38","17","23","4","","","2","4","6"
"39","20","26","11","10","2","2","2","7"
"40","13","14","14","5","3","5","3","25"
"41","20","31","16","17","14","7","7","17"
"42","16","41","12","11","5","7","4","16"
"43","29","84","32","6","6","8","30","23"
"44","28","32","19","3","6","12","9","15"
"45","15","17","18","3","8","7","3","14"
"46","","","","","","","",""
"47","52","44","24","13","13","","14","28"
"48","23","13","18","8","5","12","5","21"
"49","","","","","","","",""
"50","25","22","11","10","10","7","6","16"
"51","19","17","10","6","2","6","3","13"
"52","40","31","22","10","14","10","14","16"
"53","39","27","28","11","10","6","4","28"
"54","18","36","10","3","4","6","3","10"
"55","26","60","21","6","4","4","5","8"
"56","24","17","24","16","13","4","9","17"
"57","14","16","15","5","8","8","8","10"
"58","32","19","","13","12","7","9","20"
"59","57","52","21","3","8","9","1","16"
"60","31","36","14","6","5","","1","8"
"61","17","28","11","5","8","1","3","5"
