"chapter","trust","joy","anticipation","anger","disgust","fear","sadness","surprise"
"1","31","23","12","11","10","10","10","6"
"2","20","25","","8","6","7","15","11"
"3","149","119","81","44","32","58","62","51"
"4","79","34","37","42","30","","50","18"
"5","38","31","39","24","16","43","38","19"
"6","73","38","34","25","29","27","56","33"
"7","63","34","26","31","12","22","33","21"
"8","86","46","46","41","39","58","36","34"
"9","50","36","34","18","25","29","43","31"
"10","87","60","","18","14","21","37","19"
"11","69","63","37","26","28","30","55","27"
"12","80","103","43","29","27","55","48","19"
