"chapter","trust","joy","anticipation","sadness","anger","disgust","fear","surprise"
"1","64","36","17","13","11","9","8","5"
"2","13","17","6","8","4","4","2","4"
"3","17","18","","15","12","10","21","5"
"4","48","66","12","18","12","7","8","6"
"5","45","19","14","21","13","13","19","2"
"6","26","44","","15","21","12","9","13"
"7","43","43","26","28","18","15","21","14"
"8","38","49","18","19","23","21","10","12"
"9","57","55","26","62","22","17","32","23"
"10","36","37","15","39","13","12","22","11"
"11","57","44","21","22","9","8","12","13"
"12","46","49","28","51","25","16","22","10"
"13","30","57","16","17","10","4","16","8"
"14","44","46","13","18","9","8","11","5"
"15","71","84","35","36","20","33","20","12"
"16","67","66","33","32","32","50","32","14"
"17","49","35","30","42","32","21","24","13"
"18","50","49","31","23","30","32","12","12"
"19","87","55","22","50","39","48","28","24"
"20","38","56","19","24","27","51","31","15"
"21","12","14","11","7","2","2","5","4"
"22","26","48","10","11","1","5","4","10"
"23","29","40","14","11","14","13","14","9"
"24","36","36","9","29","5","4","13","8"
"25","25","36","7","12","4","9","4","4"
"26","52","79","22","46","10","12","","8"
"27","36","34","11","30","6","3","11","6"
"28","38","35","26","57","23","27","24","11"
"29","22","17","18","29","14","15","14","7"
"30","25","25","17","24","20","19","16","7"
"31","24","19","11","12","14","16","15","1"
"32","18","22","11","47","25","21","18","6"
"33","17","15","9","29","40","28","16","14"
"34","43","57","11","56","25","12","33","9"
"35","25","23","17","31","49","37","35","15"
"36","10","21","9","17","28","17","29","9"
"37","28","21","10","9","7","6","15","3"
"38","31","49","20","63","36","25","35","14"
"39","16","29","21","28","25","21","46","17"
"40","16","24","16","31","28","21","22","12"
"41","40","26","9","28","15","11","7","7"
"42","26","16","14","9","3","8","23","16"
"43","34","27","22","20","11","8","12","8"
"44","14","19","6","9","3","1","5","2"
"45","65","24","32","36","15","15","28","9"
